Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (?æg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (?øC),Population Density (people per km?ý)
Bangladesh,East,2005,Well,2,6.27,3.49,6.12,18.25,9.32,3907,None,75.89,305,23,78,64.27,24610,42.57,58.51,76.05,2631,10.58,629
Indonesia,South,2005,River,6.72,6.11,4.69,8.97,30.06,17.62,4079,Boiling,37.58,110,39,11,97.05,90796,0.44,68.48,67.58,1862,25.04,901
Ethiopia,South,2005,Pond,1.41,7.02,4.69,8.85,36.24,15.81,4768,Boiling,43.92,446,32,61,31.37,48513,9.6,80.44,53.88,1731,14.67,660
Bangladesh,East,2005,Spring,8.39,8.41,2.37,8.08,2.48,14.75,396,Chlorination,90.66,178,49,26,67.16,31178,57.46,60.16,31.13,1422,18.87,839
Pakistan,West,2005,River,5.18,7.91,3.52,8.21,45.11,15.64,4594,Filtration,71.29,191,4,71,23.5,35893,29.36,83.37,58.66,2476,10.6,778
Indonesia,North,2005,River,7.32,7.08,3.49,4.87,34.65,8.15,680,Boiling,94.99,244,32,50,67.73,73846,61.94,63.6,23.96,601,35.75,290
India,Central,2005,Spring,9.8,8.5,4.07,7.63,23.56,14.88,1179,Filtration,30.49,384,49,77,70.42,4979,32.79,68.61,48.78,2470,30.73,843
Brazil,North,2005,Lake,1.18,7.15,3.76,4.06,41.38,4.59,1841,Filtration,57.56,118,34,86,21.18,68712,48.15,89.73,88.59,794,5.09,383
China,East,2005,Tap,4.09,8.23,2.31,3.46,39.67,8.92,3919,Filtration,59.06,102,30,7,19.41,5765,85.18,16.95,35.59,1817,5.94,598
Mexico,Central,2005,Spring,8.23,8.43,3.02,4.32,35.19,10.07,3088,Filtration,49.11,288,42,97,76.6,95605,49.21,39.77,59.9,617,38.67,104
USA,Central,2005,Pond,3.66,8.33,1.96,3.23,11.17,0.24,3082,Filtration,42.05,207,29,28,81.39,16018,45.16,39.08,87.97,850,25.19,911
India,West,2005,River,4.96,7.38,2.1,4.13,31.88,10.29,2486,Filtration,51.37,348,45,1,8.04,50700,6.09,65.52,67.21,1293,10.32,964
Bangladesh,West,2005,Lake,7.94,7.06,3.69,5.6,38.13,12.07,2136,None,88.33,297,0,1,87.83,77703,18.22,19.22,65.91,720,20.17,400
Nigeria,North,2005,River,7.54,7.01,1.7,8.16,22.02,10.98,3610,Filtration,35.39,165,5,75,80.96,98940,97.13,27.23,38.69,784,7.62,584
Indonesia,South,2005,Lake,3.67,7.33,0.53,6.05,42.11,14.02,4608,None,63.48,344,0,89,84.85,95650,40.17,79.88,74.33,2506,38.78,116
USA,North,2005,Well,9.82,7.98,2.47,6.64,18.12,13.65,3865,None,30.42,192,5,3,42.4,49117,20.68,25.16,40.74,1893,29.47,648
Nigeria,Central,2005,River,0.79,6.52,1.41,6.55,33.66,3.44,2486,Boiling,78.57,495,37,50,65.5,30378,20.25,32.63,51.4,2931,5.98,892
Pakistan,West,2005,Tap,3.54,6.78,1.41,7.09,33.44,16.46,4939,Chlorination,72.42,42,20,42,62.17,91143,45.63,78.3,67.78,1179,11.21,359
China,South,2005,Spring,7.7,6.12,2.13,7.91,48.1,16.8,97,Filtration,83.27,375,1,13,94.59,94766,5.27,71.22,29.33,2054,29.39,217
Pakistan,West,2005,Well,6.65,6.16,1.2,5.45,24.37,9.61,2418,Boiling,33.01,58,29,2,96.6,50920,98.22,28.99,70.79,1177,28.25,147
Ethiopia,West,2005,River,4.39,7.11,4.78,5.25,28.34,5.18,4994,None,58.21,299,3,23,98.54,53757,20.51,20.74,33.07,2140,26.46,365
Bangladesh,West,2005,Pond,9.48,8.08,2.56,3.16,38.46,9.76,2573,Filtration,87.43,369,3,80,43.56,5827,1.9,74.66,97.39,1032,30.36,730
USA,East,2005,Tap,7.49,8.03,0.53,8.16,14.22,15.79,845,Boiling,98.67,318,6,69,51.15,28856,27.5,12.75,80.42,1824,9.44,536
Bangladesh,East,2005,Lake,5.92,7.4,2.86,3.75,28.74,13.91,4048,Boiling,61.19,207,30,65,28.04,9627,37.33,36.87,82.45,1796,16.06,372
Pakistan,Central,2005,Tap,3.41,7.76,0.12,6.97,22.94,2.03,3332,Filtration,97.25,190,36,7,69.75,81277,69.75,25.69,68.28,477,30.07,592
USA,East,2005,Well,1.88,6.96,0.87,8.14,22.17,15.76,1103,Chlorination,78.73,423,25,66,77.49,60226,6.47,68.92,67.34,2577,38.08,881
China,Central,2005,Pond,4.19,6.96,3.19,8.86,39.83,14.7,4381,Chlorination,79.98,390,47,29,25.39,28127,62.66,30.56,35.76,1337,22.32,297
China,Central,2005,Tap,2.36,8.09,0.07,9.22,25.96,7.08,2921,Filtration,51.56,164,47,16,28.01,94584,79.95,14.51,38.9,2742,3.92,746
USA,North,2005,Pond,9.26,6.72,3.02,7.85,26.91,3.01,534,Boiling,83.62,457,18,90,24.06,33325,48.57,61.15,25.06,551,0.26,15
China,South,2005,Spring,2.54,7.68,0.96,3.9,14.18,2.87,218,None,74.74,353,48,30,45.11,7364,94.86,89.18,75.1,1943,29.95,887
Indonesia,Central,2005,Spring,6.13,7.7,1.47,4.93,16.45,1.67,3142,Boiling,82.19,124,10,26,99.43,38154,21.04,69.68,20.03,639,14.55,589
Mexico,West,2005,Lake,8.65,8.38,0.76,4.84,0.72,3.32,3399,Chlorination,91.7,126,16,3,54.71,70941,84.02,19.57,99.98,1224,32.56,625
Mexico,North,2005,Well,0.72,7.75,3.04,3.66,45.13,16.05,600,None,98.62,289,48,31,94.38,66026,6.27,71.28,33.13,1815,6.12,228
Bangladesh,East,2005,Pond,5.54,7.82,3.25,9.28,33.29,14.97,2809,Chlorination,66.12,411,32,50,49.99,67150,46.83,22.62,96.64,425,13.93,680
Bangladesh,North,2005,Pond,2.93,6.96,4.46,8.99,34.68,13.32,1754,Boiling,93.92,88,40,31,58.83,67663,30.71,24.27,57.12,1182,27.14,450
India,South,2005,Well,3.76,7.71,4.23,6.26,32.94,19.58,2209,Boiling,88.55,400,35,49,80.77,59365,56.31,72.3,96.81,739,2.2,633
Indonesia,East,2005,River,5.82,7.31,1.35,9.06,4.05,18.58,1213,None,53.58,335,36,52,4.8,27052,86.73,82.13,79.95,2046,30.3,521
India,North,2005,Well,0.2,6.16,2.94,7.77,13.88,9.84,3680,Chlorination,56.27,0,0,18,75.74,79354,15.38,65.88,45.81,456,5.8,111
Ethiopia,East,2005,Tap,8.08,8.14,2.88,5.17,6.52,18.41,3217,None,60.76,368,30,82,2.37,26416,1.64,17.83,81.68,369,26.17,120
USA,South,2005,Pond,1.27,7.68,2.03,4.41,3.42,0.82,2051,Chlorination,41.82,318,14,31,8.18,31360,10.81,37.31,21.68,2782,39.47,671
India,East,2005,Spring,5.74,7.06,0.49,3.4,42.17,14.63,730,Chlorination,48.11,426,40,61,98.75,9189,90.86,50.73,67.63,2045,36.31,232
Indonesia,Central,2005,Spring,8.56,8.49,0.82,3.73,40.89,18.79,2675,Boiling,32.09,43,32,10,29.64,66574,20.86,70.49,77.51,281,3.29,461
Nigeria,South,2005,Tap,6.78,8.43,3.03,9.21,22.02,11.16,2597,Filtration,76.61,402,4,25,51.75,18270,92.93,56.55,98.28,1098,5.2,46
USA,West,2005,Tap,2.25,8.49,1.17,9.8,5.78,19.52,2892,None,71.61,350,44,65,84.98,84933,38.75,19.96,51.66,705,9.12,495
Bangladesh,East,2005,River,2.68,6.42,4.61,9.05,14.79,0.93,4061,None,43.27,108,46,81,56.66,57458,15.6,29.46,40.56,341,11.67,31
India,East,2005,Pond,0.25,8.31,3.48,8.12,26.47,9.38,1809,Chlorination,71.87,311,22,83,29.48,1442,33.27,37.8,75.5,2345,32.92,848
China,North,2005,River,7.99,6.52,2.3,7.03,4.46,9.13,234,Boiling,97.16,299,46,76,9.38,37017,98.64,71.08,64.36,1390,19.4,427
Ethiopia,Central,2005,Tap,3.94,7.64,2.15,4.14,49.87,15.66,2474,Filtration,79.86,270,7,37,44.71,82827,16.61,57.61,60.54,2465,33.57,828
Bangladesh,South,2005,Lake,4.11,8.13,2.92,3.47,38.87,6.88,4259,None,51.36,75,40,21,60.87,95831,66.41,89.44,48.61,555,23.46,895
China,South,2005,Pond,4.6,7.88,1.93,7.2,13.14,13.06,3960,Chlorination,96.42,371,33,80,97.83,23862,42.74,79.65,51.81,2092,9,635
India,West,2005,Spring,9.62,6.7,3.34,9.65,24.3,18.84,2151,Chlorination,91.4,84,22,84,60.51,94576,32.41,79.12,84.43,1975,11.67,53
China,West,2005,Pond,5.56,7.27,3.82,4.13,11.96,14.78,3459,Filtration,98.9,265,37,35,38.58,46921,58.86,13.32,67.4,2408,11.99,298
Nigeria,North,2005,Tap,2.34,6.1,4.36,4.89,24.27,5.87,1525,Chlorination,65.81,268,12,10,44.81,7099,95.24,41.15,34.4,2438,23.77,547
Nigeria,West,2005,River,9.66,6.89,4.74,5.35,43.94,8.07,4275,None,61.36,287,43,38,33.4,79852,0.64,34.79,93.28,2162,22.5,595
Mexico,East,2005,Pond,2.61,7.76,3.92,6.08,48.07,12.06,903,None,35.36,223,5,28,58.98,24409,12.37,89.04,51.14,675,33.04,304
Ethiopia,West,2005,River,2.41,8.33,2.13,7.63,11.25,7.57,3745,Boiling,78.68,228,1,11,12.7,41553,55.99,12.71,97.97,2164,35.89,312
Nigeria,West,2005,Pond,7.07,7.51,0.9,4.63,34.29,19.29,4595,Boiling,82.43,6,19,48,98.97,51790,68.05,13,24.16,2800,15.96,948
China,Central,2005,Lake,9.66,8.16,0.22,9.17,6.63,8.05,4398,Chlorination,37.02,28,9,6,29.36,6611,80.71,15.1,48.6,2226,1.89,143
India,West,2005,Well,5.37,7.21,4.01,3.3,13.29,5.68,2235,Boiling,88.66,179,28,49,12.18,83263,30.05,38.83,49.45,1019,11.8,648
Brazil,South,2005,Lake,4.47,6.92,3.49,6.65,12.87,3.36,2094,Chlorination,30.53,46,1,67,90.33,31184,43.05,81.33,37.83,2272,15.43,258
India,South,2005,River,6.21,6.37,1.05,6.7,18.27,16.22,4174,Chlorination,33.45,346,46,87,35.53,572,94.67,55.38,70.18,1903,18.87,449
Ethiopia,East,2005,Spring,8.35,6.79,3.51,9.01,37.78,1.98,4838,None,80.75,482,36,91,93.26,28148,64.52,82.99,99.36,1000,20.42,808
Pakistan,East,2005,Spring,5.58,6.87,0.46,5.6,14.87,17.56,383,Filtration,83.94,457,47,93,71.29,96740,13.39,69.34,50.38,1735,20.8,648
Ethiopia,South,2005,Lake,9.83,7.07,0.48,4.55,10.57,2.55,4850,None,53.73,50,6,59,35.14,19383,28.27,11.07,67.8,1258,24.37,18
Ethiopia,North,2005,Tap,8.29,6.69,3.16,6.57,14.58,13.92,1011,Chlorination,94.88,190,28,50,40.96,97462,16.9,32.07,84.42,1517,11.65,101
Bangladesh,West,2005,Pond,8.67,7.73,0.4,3.99,27.17,1.25,3002,Chlorination,61.36,140,0,29,36.91,97147,31.82,71.73,32.57,2983,6.34,557
USA,North,2005,Pond,8.02,7.7,1.98,8.33,15.24,3.87,4198,Chlorination,75.67,294,37,89,80.82,45476,45.25,49.42,41.06,1723,24.12,181
India,Central,2005,Pond,7.66,6.81,2.41,5.04,42.79,13.88,3630,Boiling,65.83,149,35,39,88.72,63501,31.7,62.93,48.47,1502,6.1,614
Pakistan,Central,2005,Pond,0.68,7.48,1.76,5.3,5.33,10.77,460,Filtration,39.79,306,48,52,18.12,57115,54.13,40.38,74.16,2540,14.79,256
Indonesia,East,2005,Spring,5.97,8.11,2.47,3.03,22.58,12.53,4547,Boiling,50.41,42,37,56,19.69,48091,33.38,22.42,53.73,2737,16.28,469
Brazil,North,2005,Lake,2.57,6.72,0.33,9.92,2.44,4.66,4360,Filtration,99.35,351,11,85,33.64,16966,39.62,76.14,94.19,2788,11.04,590
Bangladesh,South,2005,Spring,4.49,7.23,3.79,9.05,36.91,19.09,4046,Filtration,60.26,150,10,5,14.61,65002,41.96,50.63,52.39,1642,21.4,997
Brazil,Central,2005,Spring,6.35,6.11,1.27,7,16.35,4.54,4627,Boiling,48.75,330,32,3,57.86,98624,56.24,53.18,91.48,2118,21.9,771
Bangladesh,Central,2005,Spring,2.99,6.62,4.12,4.43,38.69,18.47,3731,Chlorination,48.07,353,26,27,11.43,49934,46.79,73.01,45.28,1423,23.28,572
Pakistan,Central,2005,Well,2.78,7.6,2.64,3.26,13.3,7.25,296,None,39.58,402,42,35,83.58,67080,87.76,48.45,24.39,2186,10.5,657
Indonesia,South,2005,Lake,2.63,6.95,4.37,6.16,39.9,7.4,753,Filtration,97.8,421,13,3,99.88,44716,65.24,39.92,95.36,1518,37.57,175
Ethiopia,South,2005,River,5.66,7.41,1.84,7.79,3.42,4.86,1624,Chlorination,80.12,433,1,18,42.59,96144,31.5,82.66,39.13,398,14.22,621
Brazil,Central,2005,Tap,3.36,7.15,2.64,8,5.5,12.09,1185,Filtration,39.31,473,20,51,31,8515,26.14,53.72,47.63,1833,25.61,457
Mexico,North,2005,River,1.23,7.9,4.3,4.04,18.45,5.28,4217,Chlorination,98.54,460,38,78,2.8,4042,65.21,53.98,58.74,959,11.04,173
Indonesia,North,2005,Pond,3.66,7.75,3.05,6.71,22.94,17.95,3657,Chlorination,32.74,176,33,67,87.14,43448,62.11,26.75,86.28,1110,16.07,61
Mexico,East,2005,Pond,0.37,6.85,0.62,6.65,32.76,18.58,971,None,93.34,194,25,21,77.46,26204,33.38,89.27,59.01,2499,3.22,335
Ethiopia,Central,2005,River,0.23,6.28,4.22,7.83,46.09,15.11,3285,None,85.11,26,27,23,47.79,24021,41.54,63.85,61.87,375,6.57,713
Nigeria,Central,2005,Pond,0.55,6.04,0.73,9.46,4,15.55,1753,Boiling,40.28,206,5,7,22.1,94634,3.13,47.46,59.88,2326,9.2,558
Bangladesh,North,2005,Tap,9.38,6.45,2.28,4.77,34.47,9.13,3554,Filtration,38.96,461,22,38,75.58,17972,37.9,19.64,92.48,2134,14.09,518
Indonesia,North,2005,Spring,2.17,6.88,3.04,5.06,36.79,13.5,2760,None,96.06,422,26,34,81.83,10265,62.52,43.65,58.05,2209,0.41,144
Nigeria,South,2005,Lake,1.45,7.44,1.65,6.52,47.88,18.53,1800,Chlorination,72.26,276,21,26,23.39,31351,82.36,49.58,89.99,2991,30.94,23
Brazil,East,2005,Lake,0.28,6.5,3.4,3.52,47.75,13.19,1078,Boiling,46.08,197,27,32,10.6,82052,38.13,27.23,57.93,2055,37.68,598
